"gene","experiment"
"SCARB1","L500_2"
"SCCPDH","L500_2"
"SCP2","L500_2"
"SCRN1","L500_2"
"SCYL3","L500_2"
"SDHB","L500_2"
"SENP6","L500_2"
"SERPINE1","L500_2"
"SESN1","L500_2"
"SFN","L500_2"
"SGCB","L500_2"
"SH3BP5","L500_2"
"SHB","L500_2"
"SHC1","L500_2"
"SIRT3","L500_2"
"SKIV2L","L500_2"
"SKP1","L500_2"
"SLC11A2","L500_2"
"SLC1A4","L500_2"
"SLC25A13","L500_2"
"SLC25A14","L500_2"
"SLC25A4","L500_2"
"SLC25A46","L500_2"
"SLC27A3","L500_2"
"SLC2A6","L500_2"
"SLC35A1","L500_2"
"SLC35A3","L500_2"
"SLC35B1","L500_2"
"SLC35F2","L500_2"
"SLC37A4","L500_2"
"SLC5A6","L500_2"
"SMAD3","L500_2"
"SMARCA4","L500_2"
"SMARCC1","L500_2"
"SMARCD2","L500_2"
"SMC1A","L500_2"
"SMC3","L500_2"
"SMC4","L500_2"
"SMNDC1","L500_2"
"SNAP25","L500_2"
"SNCA","L500_2"
"SNX11","L500_2"
"SNX13","L500_2"
"SNX6","L500_2"
"SNX7","L500_2"
"SOCS2","L500_2"
"SORBS3","L500_2"
"SOX2","L500_2"
"SOX4","L500_2"
"SPAG4","L500_2"
"SPAG7","L500_2"
"SPDEF","L500_2"
"SPEN","L500_2"
"SPP1","L500_2"
"SPR","L500_2"
"SPRED2","L500_2"
"SPTAN1","L500_2"
"SPTLC2","L500_2"
"SQOR","L500_2"
"SQSTM1","L500_2"
"SRC","L500_2"
"SSBP2","L500_2"
"ST3GAL5","L500_2"
"ST6GALNAC2","L500_2"
"ST7","L500_2"
"STAMBP","L500_2"
"STAP2","L500_2"
"STAT1","L500_2"
"STAT3","L500_2"
"STAT5B","L500_2"
"STIMATE","L500_2"
"STK10","L500_2"
"STK25","L500_2"
"STMN1","L500_2"
"STUB1","L500_2"
"STX1A","L500_2"
"STX4","L500_2"
"STXBP1","L500_2"
"STXBP2","L500_2"
"SUPV3L1","L500_2"
"SUV39H1","L500_2"
"SUZ12","L500_2"
"SYK","L500_2"
"SYNE2","L500_2"
"SYNGR3","L500_2"
"SYPL1","L500_2"
"TARBP1","L500_2"
"TATDN2","L500_2"
"TBC1D31","L500_2"
"TBC1D9B","L500_2"
"TBP","L500_2"
"TBPL1","L500_2"
"TBX2","L500_2"
"TBXA2R","L500_2"
"TCEA2","L500_2"
"TCEAL4","L500_2"
"TCERG1","L500_2"
"TCFL5","L500_2"
"TCTA","L500_2"
"TCTN1","L500_2"
"TENT4A","L500_2"
"TERF2IP","L500_2"
"TERT","L500_2"
"TES","L500_2"
"TESK1","L500_2"
"TEX10","L500_2"
"TFAP2A","L500_2"
"TFDP1","L500_2"
"TGFB3","L500_2"
"TGFBR2","L500_2"
"THAP11","L500_2"
"TIAM1","L500_2"
"TICAM1","L500_2"
"TIMELESS","L500_2"
"TIMM17B","L500_2"
"TIMM22","L500_2"
"TIMM9","L500_2"
"TIMP2","L500_2"
"TIPARP","L500_2"
"TJP1","L500_2"
"TLCD3A","L500_2"
"TLE1","L500_2"
"TLK2","L500_2"
"TLR4","L500_2"
"TM9SF2","L500_2"
"TM9SF3","L500_2"
"TMCO1","L500_2"
"TMED10","L500_2"
"TMEM109","L500_2"
"TMEM50A","L500_2"
"TMEM97","L500_2"
"TNFRSF21","L500_2"
"TNIP1","L500_2"
"TOMM34","L500_2"
"TOMM70","L500_2"
"TOP2A","L500_2"
"TOPBP1","L500_2"
"TOR1A","L500_2"
"TP53","L500_2"
"TP53BP1","L500_2"
"TP53BP2","L500_2"
"TPD52L2","L500_2"
"TPM1","L500_2"
"TRAK2","L500_2"
"TRAM2","L500_2"
"TRAP1","L500_2"
"TRAPPC3","L500_2"
"TRAPPC6A","L500_2"
"TRIB1","L500_2"
"TRIB3","L500_2"
"TRIM13","L500_2"
"TRIM2","L500_2"
"TSC22D3","L500_2"
"TSEN2","L500_2"
"TSKU","L500_2"
"TSPAN3","L500_2"
"TSPAN4","L500_2"
"TSPAN6","L500_2"
"TSTA3","L500_2"
"TUBB6","L500_2"
"TWF2","L500_2"
"TXLNA","L500_2"
"TXNDC9","L500_2"
"TXNL4B","L500_2"
"TXNRD1","L500_2"
"UBE2A","L500_2"
"UBE2C","L500_2"
"UBE2J1","L500_2"
"UBE2L6","L500_2"
"UBE3B","L500_2"
"UBE3C","L500_2"
"UBQLN2","L500_2"
"UBR7","L500_2"
"UFM1","L500_2"
"UGDH","L500_2"
"USP1","L500_2"
"USP14","L500_2"
"USP22","L500_2"
"USP6NL","L500_2"
"USP7","L500_2"
"UTP14A","L500_2"
"VAPB","L500_2"
"VAT1","L500_2"
"VAV3","L500_2"
"VDAC1","L500_2"
"VGLL4","L500_2"
"VPS28","L500_2"
"VPS72","L500_2"
"WASF3","L500_2"
"WASHC4","L500_2"
"WASHC5","L500_2"
"WDR61","L500_2"
"WDR7","L500_2"
"WDTC1","L500_2"
"WFS1","L500_2"
"WIPF2","L500_2"
"XBP1","L500_2"
"XPNPEP1","L500_2"
"XPO7","L500_2"
"YKT6","L500_2"
"ZNF274","L500_2"
"ZNF318","L500_2"
"ZNF395","L500_2"
"ZNF451","L500_2"
"ZNF586","L500_2"
"ZNF589","L500_2"
"ZW10","L500_2"
